title,budget,revenue,roi
Shade,6800000,0,0.0
Tropa de Elite,4000000,0,0.0
The Adventures of Huck Finn,6500000,0,0.0
Tracker,6500000,0,0.0
The Damned United,10000000,0,0.0
Ordinary People,6000000,0,0.0
The First Great Train Robbery,6000000,0,0.0
The Greatest,6000000,0,0.0
Come Early Morning,6000000,0,0.0
11:14,6000000,0,0.0
A Shine of Rainbows,6000000,0,0.0
The Hit List,6000000,0,0.0
Don Jon,6000000,0,0.0
Ghost World,7000000,0,0.0
Le Havre,3850000,0,0.0
R100,5500000,0,0.0
Salvation Boulevard,8000000,0,0.0
Somewhere in Time,5100000,0,0.0
Insidious: Chapter 2,5000000,0,0.0
The Apostle,5000000,0,0.0
April Fool's Day,5000000,0,0.0
Digimon: The Movie,5500000,0,0.0
The Forsaken,5000000,0,0.0
UHF,5000000,0,0.0
Slums of Beverly Hills,5000000,0,0.0
Light Sleeper,5000000,0,0.0
The Oh in Ohio,5000000,0,0.0
Albino Alligator,6000000,0,0.0
Decoys,5000000,0,0.0
Area 51,5000000,0,0.0
Mientras duermes,5000000,0,0.0
Rudderless,5000000,0,0.0
Henry & Me,5000000,0,0.0
Dying of the Light,15000000,0,0.0
Capricorn One,5000000,0,0.0
Yoga Hosers,5000000,0,0.0
Let's Kill Ward's Wife,5000000,0,0.0
Le Nom des gens,4600000,0,0.0
Treading Water,4700000,0,0.0
Savage Grace,4600000,0,0.0
Salvador,4500000,0,0.0
Karakter,4500000,0,0.0
Spun,2000000,0,0.0
放‧逐,4500000,0,0.0
R.L. Stine's Monsterville: The Cabinet of Souls,4400000,0,0.0
Sexy Beast,5000000,0,0.0
Paa,3250000,0,0.0
High School Musical,4200000,0,0.0
Survival of the Dead,4000000,0,0.0
Hansel and Gretel Get Baked,4500000,0,0.0
The Front Page,4000000,0,0.0
The Cooler,32000000,0,0.0
The Rules of Attraction,4000000,0,0.0
Samsara,4000000,0,0.0
The Loss of Sexual Innocence,4000000,0,0.0
Psycho Beach Party,1500000,0,0.0
"Guten Tag, Ramón",4000000,0,0.0
The Velocity of Gary,4000000,0,0.0
Purple Violets,4000000,0,0.0
The Veil,4000000,0,0.0
The Helpers,4000000,0,0.0
How to Fall in Love,4000000,0,0.0
Major Dundee,3800000,14873,0.0
The Good Heart,3800000,0,0.0
Chain of Command,5000000,0,0.0
Sharknado,1000000,0,0.0
D.E.B.S.,3500000,0,0.0
The Betrayed,3500000,0,0.0
2:13,3500000,0,0.0
"Batman: The Dark Knight Returns, Part 2",3500000,0,0.0
Time to Choose,3500000,0,0.0
In the Name of the King III,3500000,0,0.0
Wicked Blood,3500000,0,0.0
Lords of London,3440000,0,0.0
To Write Love on Her Arms,3400000,0,0.0
Class of 1984,4300000,0,0.0
Dreaming of Joseph Lees,2000000,7,0.0
Antiviral,2400000,0,0.0
Krush Groove,3000000,0,0.0
Whipped,3000000,0,0.0
Please Give,3000000,0,0.0
Compadres,3000000,0,0.0
Freeway,3000000,0,0.0
Sommersturm,2700000,0,0.0
Just Looking,3000000,0,0.0
Open Road,3000000,0,0.0
Never Back Down 2: The Beatdown,3000000,0,0.0
Something Wicked,3000000,0,0.0
AWOL-72,3000000,0,0.0
Chicago Overcoat,3200000,0,0.0
Amnesiac,3000000,0,0.0
Griff the Invisible,2902660,0,0.0
Timber Falls,2600000,0,0.0
My Own Private Idaho,2500000,0,0.0
The Other End of the Line,14000000,0,0.0
Stung,2500000,0,0.0
Antibirth,35000000,0,0.0
The Rise of the Krays,2500000,0,0.0
U.F.O.,2500000,0,0.0
Go for It!,2450000,0,0.0
The Brave Little Toaster,2000000,0,0.0
Eden,2300000,0,0.0
Mi America,2100000,3330,0.0
In the Shadow of the Moon,2000000,0,0.0
Grave Encounters,1000000,0,0.0
Nine Dead,2000000,0,0.0
The Lady from Shanghai,2300000,0,0.0
No Man's Land: The Rise of Reeker,2000000,0,0.0
Highway,14000000,0,0.0
Small Apartments,2000000,0,0.0
Straight A's,7000000,0,0.0
The Curse of Downers Grove,2000000,0,0.0
Shark Lake,2000000,0,0.0
River's Edge,19000000,0,0.0
The Marine 4: Moving Target,1950000,0,0.0
Brotherly Love,1900000,0,0.0
El Crimen del Padre Amaro,1800000,0,0.0
Independence Daysaster,1800000,0,0.0
Dysfunctional Friends,1800000,0,0.0
Against the Wild,1493619,0,0.0
In the Bedroom,1700000,0,0.0
Kickboxer: Vengeance,17000000,0,0.0
Nueve Reinas,1500000,0,0.0
The Salon,1500000,0,0.0
Road Hard,1500000,0,0.0
Forty Shades of Blue,1500000,0,0.0
Amigo,1200000,0,0.0
Trucker,2000000,0,0.0
Closer to the Moon,9000000,0,0.0
#Horror,1500000,0,0.0
La niña santa,1400000,0,0.0
The Dog Lover,2000000,0,0.0
GirlHouse,3150000,0,0.0
Batman,1377800,0,0.0
Festen,1300000,0,0.0
The Hebrew Hammer,1000000,0,0.0
The Lion of Judah,15000000,0,0.0
"Sex, Lies, and Videotape",1200000,0,0.0
Los insólitos peces gato,1300000,0,0.0
Blue Like Jazz,1250000,0,0.0
Certifiably Jonathan,1200000,0,0.0
Q,1344000,0,0.0
Crowsnest,1200000,0,0.0
Cotton Comes to Harlem,1200000,0,0.0
Dracula: Pages from a Virgin's Diary,1596010,0,0.0
Beyond the Black Rainbow,1100000,0,0.0
Rocket Singh: Salesman of the Year,1250000,0,0.0
Silent Running,1000000,0,0.0
20 Feet from Stardom,1000000,0,0.0
Bubba Ho-tep,1000000,0,0.0
Orgazmo,1000000,0,0.0
The Battle of Shaker Heights,1000000,0,0.0
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,1000000,0,0.0
Antarctica: A Year on Ice,1000000,0,0.0
A LEGO Brickumentary,650000,0,0.0
Hardflip,1000000,0,0.0
Speedway Junky,1000000,0,0.0
Creative Control,1000000,0,0.0
Heli,1000000,0,0.0
Loving Annabelle,900000,0,0.0
Hits,1000000,0,0.0
Snow White: A Deadly Summer,1000000,0,0.0
My Last Day Without You,1000000,0,0.0
Doc Holliday's Revenge,1000000,0,0.0
Bang Bang Baby,1000000,0,0.0
Banshee Chapter,950000,0,0.0
Ask Me Anything,950000,0,0.0
Food Chains,913000,0,0.0
1982,1000000,0,0.0
جدایی نادر از سیمین,800000,0,0.0
Saints and Soldiers,780000,0,0.0
Il conformista,750000,0,0.0
Interview with the Assassin,500000,0,0.0
All the Boys Love Mandy Lane,750000,0,0.0
Adulterers,750000,0,0.0
Treachery,625000,0,0.0
Walter,700000,0,0.0
The Kentucky Fried Movie,600000,0,0.0
They Will Have to Kill Us First,522360,0,0.0
The Harvest (La Cosecha),56000,0,0.0
Love Letters,550000,0,0.0
Faith Connections,550000,0,0.0
Osama,46000,0,0.0
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,500000,0,0.0
Johnny Suede,500000,0,0.0
Detention of the Dead,500000,0,0.0
Everything Put Together,500000,0,0.0
Girls Gone Dead,500000,0,0.0
The Little Ponderosa Zoo,500000,0,0.0
Metropolitan,225000,0,0.0
The Dark Hours,500000,0,0.0
Rotor DR1,350000,0,0.0
Pieces of April,300000,0,0.0
Old Joy,300000,0,0.0
Wendy and Lucy,200000,0,0.0
Pierrot le fou,300000,0,0.0
Anderson's Cross,300000,0,0.0
Some Guy Who Kills People,300000,0,0.0
American Desi,250000,0,0.0
Amidst the Devil's Wings,300000,0,0.0
The Sticky Fingers of Time,250000,0,0.0
Ink,250000,0,0.0
The Christmas Bunny,250000,0,0.0
The Business of Fancydancing,200000,0,0.0
Malevolence,450000,0,0.0
Super Hybrid,13000000,0,0.0
A Dog's Breakfast,120000,0,0.0
Une femme mariée: Suite de fragments d'un film tourné en 1964,120000,0,0.0
Queen Crab,75000,0,0.0
The Brain That Wouldn't Die,62000,0,0.0
Absentia,70000,0,0.0
Hayride,60000,0,0.0
Counting,50000,0,0.0
The Call of Cthulhu,50000,0,0.0
The Image Revolution,50000,0,0.0
"Run, Hide, Die",50000,0,0.0
Mutual Appreciation,500000,0,0.0
Pink Narcissus,27000,0,0.0
Dry Spell,22000,0,0.0
